expert_id	country_id	nr_experts	party	party_id	intradem	personalised	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	gender	accuracy	self_leftright	discipline	expertise
2004.0	2.0	14.0	"VB"	206.0	3	4	10	10	9	10	10	0	10	10	2	0	0	10	10	0	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"VB"	206.0	3	9		6	6	7	9	1	10	10	8	0	7	10	10	2	0	3	4	7	"1,4"
2006.0	2.0	14.0	"VB"	206.0		7	8	7	8	8	8	3	8	9	7	0	2	9	9	2	0	3		1	"1,4"
2007.0	2.0	14.0	"VB"	206.0	3	7	9	9	7	4	9	3	8	9	6	1	3	9	8	2	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"VB"	206.0	1	8	8	9	8	8	10	0	8	10	3	0	0	10	10	0	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"VB"	206.0	3	6	9	10	10	8	8	0	9	9	9	0	5	10	10	2	0	6		1	"4"
2010.0	2.0	14.0	"VB"	206.0	5	5	10	8	7	7	8	1	9	8	3	0	1		10	3	0	8	5	1	"1"
2011.0	2.0	14.0	"VB"	206.0	5	7	8	7	7	8	8	2	9	9	7	0	1	9	10	2	1	7	4	1	"4"
2012.0	2.0	14.0	"VB"	206.0	2	9	9	9	9	7	8	1	10	9	5	0	4	10	9	3	1	4	3	1	"1,15"
2013.0	2.0	14.0	"VB"	206.0	2	4	8	8	8	8	9	3	10	8	5	0	4	10	9	5	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"VB"	206.0	2	6	8	9	7	8	9	3	9	9	4	0	3	10	10	1	0	5	6	1	"1,2,3,4,13"
2001.0	2.0	14.0	"PVDAPTB"	207.0	7	4	10	6	8	10	10	0	10	0	0		1	1		0	0	8	5	4	"2,4"
2002.0	2.0	14.0	"PVDAPTB"	207.0										0	0						1	2	2	1	"15"
2003.0	2.0	14.0	"PVDAPTB"	207.0		3	7	6	6	5	9	3	6	1	1	8	3	1	4	6	0	7	4	1	"1"
2004.0	2.0	14.0	"PVDAPTB"	207.0	3	7	10	10	10	10	10	0	10	0	0	9	0	0	0	10	1	6	3	1	"3,4,7"
2005.0	2.0	14.0	"PVDAPTB"	207.0		5		2	3	7	9	8	4	1	1	6	5	4	5	5	0	3	4	7	"1,4"
2006.0	2.0	14.0	"PVDAPTB"	207.0	8	7	8	6	7	9	8	3	8	2	2	7		3		6	0	3		1	"1,4"
2007.0	2.0	14.0	"PVDAPTB"	207.0	7	8	9	8	7	7	10	3	9	1	2	8	3	1	2	8	0	7	2	1	"7,8,13"
2008.0	2.0	14.0	"PVDAPTB"	207.0	6	6	7			8	10	2	8	0	0	4		6	5	7	0	8	7	1	"1,2,4,13"
2009.0	2.0	14.0	"PVDAPTB"	207.0	4	2	9		7			1	6	1	1			1			0	6		1	"4"
2010.0	2.0	14.0	"PVDAPTB"	207.0		10	8	8	7	8	10	1	9	1	1	9			3	9	0	8	5	1	"1"
2011.0	2.0	14.0	"PVDAPTB"	207.0		4	8	7	7	9	9	2	8	1	1		3				1	7	4	1	"4"
2012.0	2.0	14.0	"PVDAPTB"	207.0		7					7		7	1	1					9	1	4	3	1	"1,15"
2013.0	2.0	14.0	"PVDAPTB"	207.0		4	7	7	7	7	9	2	9	0	0	7	5	1	1	9	0	5	3	1	"1,2,4,10,13"
2014.0	2.0	14.0	"PVDAPTB"	207.0		6	8	7	7	5	7	3	9	1	0			5			0	5	6	1	"1,2,3,4,13"
3001.0	3.0	9.0	"PS"	301.0	6	8	6	2	5	3	4	5	8	3	3	7	7	0	2	8	1	5	6	1	"3,7"
3002.0	3.0	9.0	"PS"	301.0	6	8	3	3	5	6	5		6	2	3	8	9	2	2	8	1	7	6	1	"1"
3003.0	3.0	9.0	"PS"	301.0	6	8	7	5	5	4	5	7	7	2	2	7	7	2	3	9	0	6	6	1	"2,6"
3004.0	3.0	9.0	"PS"	301.0	6	4	3	0	0	2	2	8	2	2	0	6	5	2	0	10	1	7	2	1	"1,4"
3005.0	3.0	9.0	"PS"	301.0	4	8	7	6	3	5	7	6	7	3	4	5	8	3	4	8	0	6	4	1	"15"
3006.0	3.0	9.0	"PS"	301.0	6	6	4	3	6	4	4	6	6	2	3	6	7	2	1	8	0	8	2	1	"1,3,7"
3007.0	3.0	9.0	"PS"	301.0	8	8	9		9	10	5	1	10	3	2	5	10	2	2	8	0	8		1	"7,11,15"
3008.0	3.0	9.0	"PS"	301.0	5	7	2	3			6	8	4	2	3	4	7	4	4	8	0	7	2	1	"1,5,10"
3009.0	3.0	9.0	"PS"	301.0	2	3	6	5	5	3	4	3	7	3	1	6	8	3	6	5	0	9	4	1	"1,4"
3001.0	3.0	9.0	"MR"	302.0	6	6	4	2	6	3	2	7	5	7	7	4	9	2	7	8	1	5	6	1	"3,7"
3002.0	3.0	9.0	"MR"	302.0	4	7	3	3	4	3	3		4	6	6	4	9	4	7	7	1	7	6	1	"1"
3003.0	3.0	9.0	"MR"	302.0	6	6	4	5	5	4	5	7	7	7	6	5	8	5	7	9	0	6	6	1	"2,6"
3004.0	3.0	9.0	"MR"	302.0	3	8	4	0	0	0	0	6	1	7	10	2	7	7	5	8	1	7	2	1	"1,4"
3005.0	3.0	9.0	"MR"	302.0	4	8	6	6	3	5	3	6	6	7	8	2	9	5	7	7	0	6	4	1	"15"
3006.0	3.0	9.0	"MR"	302.0	3	7	5	7	4	4	1	6	7	8	8	1	7	8	7	3	0	8	2	1	"1,3,7"
3007.0	3.0	9.0	"MR"	302.0	8	10	9	8	3	5	2	3	5	7	8	3	9	5	5	8	0	8		1	"7,11,15"
